Etiquette,Presentation (FR)
1P.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,"marqueur de personne à l'inaccompli, 1re pers. pl. [coquille : préfixe IV manquant] + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
ADJ-MSA.NSUFF_FEM_SG,"adjectif (arabe standard, MSA) + suffixe nominal féminin singulier"
ADJ-foreign.NSUFF_FEM_SG,adjectif d'origine étrangère + suffixe nominal féminin singulier
ADJ-foreign.NSUFF_MASC_PL,adjectif d'origine étrangère + suffixe nominal masculin pluriel
ADJ.IVSUFF_SUBJ,adjectif + suffixe sujet du verbe à l'inaccompli
ADJ.IVSUFF_SUBJ.IVSUFF_DO:1P,adjectif + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. pl.)
ADJ.IVSUFF_SUBJ.IVSUFF_DO:1S,adjectif + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)
ADJ.IVSUFF_SUBJ.IVSUFF_DO:2S,adjectif + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)
ADJ.IVSUFF_SUBJ.IVSUFF_DO:3FS,adjectif + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)
ADJ.IVSUFF_SUBJ.IVSUFF_DO:3MP,adjectif + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. pl.)
ADJ.IVSUFF_SUBJ.IVSUFF_DO:3MS,adjectif + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)
ADJ.IVSUFF_SUBJ.PVSUFF_DO:3MS,adjectif + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.)
ADJ.NSUFF_FEM_PL,adjectif + suffixe nominal féminin pluriel
ADJ.NSUFF_FEM_SG,adjectif + suffixe nominal féminin singulier
ADJ.NSUFF_FEM_SG.IVSUFF_DO:1S,adjectif + suffixe nominal féminin singulier + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)
